Jersey,name,Yr,pos,GP,GS,App,GS,ERA,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,pickoffs,season
35,Ray Weber,Sr,P,5,5,5,5,5.74,26.2,0,31,17,17,12,21,0,121,107,6,1,0,2,5,1,0,0,0,1,0,245,22,34,2,2,0,4,1,2022
18,Anthony Germinerio,So,P,5,5,5,5,2.83,28.2,1,25,9,9,12,25,1,121,104,4,0,0,2,1,5,0,0,0,0,0,261,39,15,3,0,0,6,1,2022
22,Connor Eisenmann,So,P,4,3,4,3,3.93,18.1,0,11,8,8,11,19,0,78,65,2,0,0,1,2,1,1,2,1,0,1,111,15,19,2,2,0,7,0,2022
14,Kyle Mccaffrey,Fr,P,3,0,3,0,7.04,7.2,0,7,6,6,5,5,0,35,28,4,0,0,2,0,0,0,1,0,1,1,42,9,8,0,0,0,0,0,2022
31,Thomas Quinn,Fr,P,1,1,1,1,27.00,1.1,0,5,4,4,1,3,0,9,8,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,2022
4,Garrett Palladino,Fr,1B,14,13,2,0,22.09,3.2,0,11,14,9,8,2,0,33,24,4,1,0,0,2,1,0,3,3,0,0,113,4,4,0,0,0,0,0,2022
20,Jamal Green,So,1b,14,14,5,0,19.06,11.1,0,28,26,24,8,2,0,69,57,10,1,0,1,1,2,0,11,5,0,2,131,1,27,0,0,0,1,0,2022
17,Diego Lopez-Molina,So,P,13,13,1,0,162.00,0.1,0,1,6,6,2,1,0,7,2,0,0,0,0,0,3,0,0,0,0,0,26,0,0,0,0,0,0,0,2022
8,Jermel Ford,Fr,P,13,12,5,4,15.00,15.0,0,22,33,25,20,14,0,95,66,3,0,1,2,2,5,0,0,0,1,2,234,7,21,0,4,0,8,1,2022
10,Jamil Bentancourt,So,OF,13,11,4,0,12.27,7.1,0,8,11,10,11,6,0,46,29,2,1,0,1,1,4,0,5,3,0,1,132,5,11,0,0,0,2,0,2022
15,Payton Baylis,Fr,P,13,5,7,0,16.39,9.1,0,15,17,17,12,8,0,62,40,2,2,0,1,2,6,1,13,6,1,3,145,7,12,0,0,0,2,0,2022
14,Brandon Dunn,Sr,P,8,0,8,0,36.00,6.0,0,12,28,24,24,6,0,57,28,4,0,0,1,7,4,0,13,9,0,1,195,5,4,0,0,0,1,0,2022
19,Austin Guzman,Fr,P,7,2,6,2,16.20,10.0,0,17,20,18,19,4,0,67,42,4,1,5,1,4,3,0,2,0,1,2,160,11,13,0,2,0,0,0,2022
28,Ryan Poston,Fr,P,6,0,6,0,18.36,8.1,0,13,19,17,13,3,0,56,37,4,0,0,1,1,4,0,9,6,0,2,144,3,18,0,0,0,0,0,2022
7,Andrew Meadows,Sr,P,6,4,6,4,24.30,13.1,0,21,41,36,22,12,0,98,61,4,1,0,1,8,14,0,2,0,1,0,289,13,13,0,4,0,1,0,2022
5,Dj Lewis,Jr,OF,5,3,2,0,0.00,2.1,0,1,0,0,1,1,0,9,8,0,0,0,0,0,0,0,3,0,0,0,27,2,4,0,0,0,0,0,2022
2,Christopher Pittman,Sr,INF,3,2,1,0,0.0,0.0,0,1,3,3,2,0,0,5,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
25,Tyler Feltson,Fr,P,2,2,2,2,43.20,1.2,0,8,11,8,5,0,0,21,14,0,2,0,0,4,2,0,0,0,0,0,82,2,3,0,2,0,0,0,2022
12,Devin Puckett,Jr,P,2,2,2,2,20.77,4.1,0,7,10,10,5,4,0,27,21,2,0,1,0,2,1,0,0,0,0,0,121,7,2,0,2,0,1,0,2022
44,Grey Laspaluto,So,UT,10,1,4,1,12.79,6.1,0,13,9,9,5,5,0,36,29,4,1,0,0,1,1,0,2,0,1,0,61,4,6,0,1,0,2,1,2022
29,Eli Ellington,Jr,P,7,0,7,0,8.74,11.1,0,10,12,11,13,13,0,56,41,4,0,0,0,3,0,1,6,5,1,1,241,9,10,0,1,2,4,0,2022
25,Trey Jernigan,Sr,P,7,0,7,0,6.48,8.1,0,9,8,6,5,9,0,39,33,1,0,0,1,0,1,0,9,2,0,0,156,6,8,0,1,1,1,0,2022
10,Cameron Kepley,Sr,P,7,1,7,1,3.00,12.0,0,8,9,4,8,13,0,51,40,0,1,0,1,1,2,0,6,1,0,1,175,4,14,1,1,0,1,1,2022
